Order ID,Order Date,Product,Category,Region,Quantity,Unit Price,Discount,Sales,Cost,Profit
ORD0233,2025-01-01,Backpack,Bags,East,1,27.58,0.15,23.44,16.83,6.61
ORD0745,2025-01-01,Office Chair,Furniture,South,5,126.21,0.0,631.05,434.7,196.35
ORD0239,2025-01-03,Smartphone,Electronics,Central,1,494.43,0.0,494.43,344.82,149.61
ORD0741,2025-01-03,Keyboard,Accessories,West,7,70.33,0.1,443.08,343.94,99.14
ORD0594,2025-01-05,Backpack,Bags,East,4,89.08,0.05,338.5,257.56,80.94
ORD0107,2025-01-06,Laptop,Electronics,South,3,657.3,0.05,1873.3,1460.15,413.15
ORD0620,2025-01-06,Laptop,Electronics,South,2,744.86,0.0,1489.72,1092.9,396.82
ORD0492,2025-01-07,Office Chair,Furniture,North,1,103.13,0.05,97.97,64.38,33.59
ORD0268,2025-01-07,Mouse,Accessories,West,6,62.92,0.1,339.77,251.83,87.94
ORD0142,2025-01-07,Printer,Office Equipment,South,4,300.43,0.0,1201.72,767.45,434.27
ORD0451,2025-01-10,Headphones,Electronics,West,3,39.23,0.05,111.81,79.66,32.15
ORD0285,2025-01-10,Mouse,Accessories,South,1,51.91,0.0,51.91,32.75,19.16
ORD0124,2025-01-11,Mouse,Accessories,South,3,44.8,0.1,120.96,84.65,36.31
ORD0305,2025-01-12,Monitor,Electronics,North,1,302.89,0.0,302.89,221.78,81.11
ORD0632,2025-01-12,Keyboard,Accessories,Central,7,50.79,0.15,302.2,197.92,104.28
ORD0272,2025-01-12,Monitor,Electronics,West,5,128.52,0.0,642.6,496.49,146.11
ORD0240,2025-01-12,Backpack,Bags,Central,2,65.73,0.0,131.46,85.22,46.24
ORD0766,2025-01-16,Mouse,Accessories,East,4,28.76,0.0,115.04,75.77,39.27
ORD0453,2025-01-17,Mouse,Accessories,South,4,55.75,0.15,189.55,145.99,43.56
ORD0686,2025-01-19,Printer,Office Equipment,Central,2,153.15,0.1,275.67,162.11,113.56
ORD0799,2025-01-19,Smartphone,Electronics,South,2,641.48,0.1,1154.66,804.26,350.4
ORD0403,2025-01-19,Headphones,Electronics,South,3,65.55,0.15,167.15,97.24,69.91
ORD0301,2025-01-19,Office Chair,Furniture,Central,3,287.13,0.1,775.25,544.53,230.72
ORD0226,2025-01-20,Keyboard,Accessories,South,4,50.63,0.0,202.52,138.98,63.54
ORD0668,2025-01-20,Keyboard,Accessories,East,3,70.46,0.05,200.81,138.21,62.6
ORD0380,2025-01-23,Smartphone,Electronics,East,3,497.57,0.05,1418.07,1037.84,380.23
ORD0627,2025-01-25,Desk,Furniture,East,2,151.97,0.0,303.94,182.38,121.56
ORD0271,2025-01-25,Mouse,Accessories,Central,6,60.1,0.0,360.6,277.86,82.74
ORD0438,2025-01-26,Office Chair,Furniture,North,1,148.6,0.0,148.6,90.37,58.23
ORD0410,2025-01-27,Backpack,Bags,Central,3,93.3,0.15,237.91,157.26,80.65
ORD0198,2025-01-27,Printer,Office Equipment,South,6,161.11,0.0,966.66,590.37,376.29
ORD0019,2025-01-28,Mouse,Accessories,West,4,65.92,0.1,237.31,167.7,69.61
ORD0148,2025-01-29,Headphones,Electronics,Central,6,128.53,0.0,771.18,467.69,303.49
ORD0637,2025-01-30,Office Chair,Furniture,Central,7,183.88,0.0,1287.16,921.53,365.63
ORD0379,2025-01-30,Monitor,Electronics,West,3,145.61,0.05,414.99,312.22,102.77
ORD0564,2025-01-31,Smartphone,Electronics,East,6,725.56,0.0,4353.36,2596.99,1756.37
ORD0184,2025-01-31,Office Chair,Furniture,South,7,319.23,0.15,1899.42,1278.49,620.93
ORD0467,2025-02-01,Keyboard,Accessories,East,1,61.17,0.0,61.17,44.7,16.47
ORD0774,2025-02-01,Printer,Office Equipment,East,7,189.97,0.05,1263.3,884.55,378.75
ORD0014,2025-02-02,Laptop,Electronics,Central,7,910.43,0.15,5417.06,4062.84,1354.22
ORD0179,2025-02-07,Desk,Furniture,East,1,329.33,0.0,329.33,217.91,111.42
ORD0157,2025-02-08,Headphones,Electronics,East,1,106.85,0.05,101.51,67.7,33.81
ORD0496,2025-02-08,Mouse,Accessories,North,1,50.9,0.1,45.81,28.44,17.37
ORD0181,2025-02-09,Keyboard,Accessories,East,5,111.12,0.05,527.82,376.03,151.79
ORD0460,2025-02-09,Headphones,Electronics,Central,3,108.5,0.0,325.5,241.58,83.92
ORD0455,2025-02-10,Smartphone,Electronics,North,5,785.9,0.0,3929.5,2939.12,990.38
ORD0267,2025-02-11,Keyboard,Accessories,South,4,105.89,0.0,423.56,324.5,99.06
ORD0669,2025-02-11,Desk,Furniture,East,3,342.52,0.05,976.18,611.82,364.36
ORD0273,2025-02-12,Headphones,Electronics,South,6,162.04,0.0,972.24,729.46,242.78
ORD0512,2025-02-14,Monitor,Electronics,North,7,179.15,0.05,1191.35,745.69,445.66
ORD0204,2025-02-15,Laptop,Electronics,West,6,949.66,0.0,5697.96,3421.96,2276.0
ORD0161,2025-02-16,Backpack,Bags,South,4,43.8,0.15,148.92,114.49,34.43
ORD0314,2025-02-16,Office Chair,Furniture,East,6,257.07,0.0,1542.42,1090.85,451.57
ORD0721,2025-02-17,Headphones,Electronics,East,5,121.14,0.05,575.42,341.5,233.92
ORD0784,2025-02-18,Backpack,Bags,South,1,50.43,0.0,50.43,32.4,18.03
ORD0133,2025-02-18,Monitor,Electronics,North,7,211.6,0.0,1481.2,922.1,559.1
ORD0481,2025-02-19,Office Chair,Furniture,North,6,247.43,0.0,1484.58,966.72,517.86
ORD0044,2025-02-20,Backpack,Bags,North,7,56.92,0.0,398.44,277.18,121.26
ORD0757,2025-02-21,Printer,Office Equipment,South,6,174.58,0.05,995.11,774.62,220.49
ORD0533,2025-02-23,Keyboard,Accessories,East,6,39.87,0.05,227.26,164.37,62.89
ORD0629,2025-02-23,Headphones,Electronics,East,1,68.56,0.1,61.7,47.22,14.48
ORD0045,2025-02-23,Smartphone,Electronics,East,6,407.6,0.05,2323.32,1361.7,961.62
ORD0701,2025-02-25,Keyboard,Accessories,East,2,88.88,0.0,177.76,105.07,72.69
ORD0049,2025-02-27,Laptop,Electronics,South,5,682.35,0.0,3411.75,2448.61,963.14
ORD0663,2025-02-27,Keyboard,Accessories,Central,2,31.25,0.1,56.25,37.84,18.41
ORD0715,2025-02-27,Headphones,Electronics,South,5,43.83,0.05,208.19,128.36,79.83
ORD0048,2025-02-27,Keyboard,Accessories,South,6,28.9,0.0,173.4,115.61,57.79
ORD0213,2025-02-28,Smartphone,Electronics,East,6,645.56,0.0,3873.36,3018.38,854.98
ORD0562,2025-03-01,Headphones,Electronics,South,3,82.31,0.0,246.93,154.7,92.23
ORD0536,2025-03-02,Headphones,Electronics,North,6,112.32,0.05,640.22,467.13,173.09
ORD0764,2025-03-02,Smartphone,Electronics,South,1,385.83,0.1,347.25,213.13,134.12
ORD0528,2025-03-03,Office Chair,Furniture,North,2,180.99,0.15,307.68,201.79,105.89
ORD0759,2025-03-06,Smartphone,Electronics,North,6,435.53,0.1,2351.86,1364.36,987.5
ORD0221,2025-03-07,Mouse,Accessories,East,7,21.48,0.0,150.36,116.36,34.0
ORD0304,2025-03-07,Mouse,Accessories,North,1,44.19,0.1,39.77,27.97,11.8
ORD0439,2025-03-09,Desk,Furniture,West,5,224.97,0.15,956.12,655.38,300.74
ORD0052,2025-03-10,Headphones,Electronics,North,3,144.89,0.0,434.67,262.2,172.47
ORD0306,2025-03-11,Laptop,Electronics,East,1,1033.23,0.0,1033.23,666.83,366.4
ORD0756,2025-03-12,Backpack,Bags,South,2,98.61,0.0,197.22,145.08,52.14
ORD0572,2025-03-13,Office Chair,Furniture,North,4,217.3,0.05,825.74,516.88,308.86
ORD0256,2025-03-14,Backpack,Bags,North,5,31.75,0.0,158.75,120.47,38.28
ORD0156,2025-03-14,Keyboard,Accessories,North,5,39.69,0.05,188.53,127.23,61.3
ORD0727,2025-03-14,Laptop,Electronics,West,4,850.02,0.05,3230.08,2027.89,1202.19
ORD0776,2025-03-15,Headphones,Electronics,North,7,94.79,0.0,663.53,461.26,202.27
ORD0449,2025-03-15,Smartphone,Electronics,West,2,674.39,0.05,1281.34,746.28,535.06
ORD0345,2025-03-16,Smartphone,Electronics,North,4,747.95,0.1,2692.62,1664.72,1027.9
ORD0415,2025-03-16,Monitor,Electronics,North,7,213.81,0.0,1496.67,1056.52,440.15
ORD0311,2025-03-17,Desk,Furniture,South,1,361.87,0.0,361.87,260.21,101.66
ORD0141,2025-03-19,Backpack,Bags,East,4,45.25,0.0,181.0,113.78,67.22
ORD0099,2025-03-19,Smartphone,Electronics,South,7,758.22,0.0,5307.54,3885.07,1422.47
ORD0736,2025-03-19,Headphones,Electronics,East,6,80.25,0.1,433.35,326.0,107.35
ORD0724,2025-03-20,Laptop,Electronics,South,3,872.96,0.1,2356.99,1679.39,677.6
ORD0525,2025-03-23,Smartphone,Electronics,South,4,716.36,0.05,2722.17,2113.33,608.84
ORD0625,2025-03-24,Mouse,Accessories,Central,1,37.0,0.0,37.0,22.93,14.07
ORD0275,2025-03-24,Keyboard,Accessories,North,2,30.49,0.05,57.93,45.0,12.93
ORD0194,2025-03-25,Smartphone,Electronics,East,7,704.26,0.0,4929.82,3687.45,1242.37
ORD0463,2025-03-26,Laptop,Electronics,Central,6,671.85,0.15,3426.44,2142.3,1284.14
ORD0710,2025-03-26,Smartphone,Electronics,North,4,651.6,0.05,2476.08,1651.08,825.0
ORD0563,2025-03-27,Headphones,Electronics,West,1,86.29,0.0,86.29,66.88,19.41
ORD0231,2025-03-27,Smartphone,Electronics,South,7,619.93,0.0,4339.51,3270.38,1069.13
ORD0504,2025-03-29,Mouse,Accessories,West,5,29.46,0.05,139.94,82.74,57.2
ORD0787,2025-03-31,Keyboard,Accessories,North,6,85.3,0.0,511.8,373.55,138.25
ORD0445,2025-03-31,Mouse,Accessories,North,1,23.42,0.15,19.91,15.51,4.4
ORD0245,2025-03-31,Mouse,Accessories,North,2,47.4,0.1,85.32,54.14,31.18
ORD0531,2025-04-02,Office Chair,Furniture,North,3,264.5,0.05,753.82,549.12,204.7
ORD0443,2025-04-03,Keyboard,Accessories,West,6,66.12,0.0,396.72,243.25,153.47
ORD0747,2025-04-04,Monitor,Electronics,Central,6,444.3,0.0,2665.8,1585.28,1080.52
ORD0725,2025-04-05,Backpack,Bags,North,5,104.2,0.15,442.85,320.64,122.21
ORD0470,2025-04-06,Smartphone,Electronics,East,1,763.11,0.1,686.8,494.11,192.69
ORD0648,2025-04-06,Office Chair,Furniture,Central,2,239.59,0.0,479.18,304.37,174.81
ORD0017,2025-04-06,Laptop,Electronics,West,5,730.69,0.1,3288.11,2219.72,1068.39
ORD0416,2025-04-06,Office Chair,Furniture,North,7,116.71,0.0,816.97,601.78,215.19
ORD0480,2025-04-07,Keyboard,Accessories,Central,6,62.11,0.0,372.66,246.82,125.84
ORD0768,2025-04-07,Smartphone,Electronics,South,5,470.82,0.1,2118.69,1322.28,796.41
ORD0773,2025-04-07,Smartphone,Electronics,South,2,628.85,0.05,1194.82,750.79,444.03
ORD0752,2025-04-07,Smartphone,Electronics,North,6,653.07,0.1,3526.58,2555.21,971.37
ORD0154,2025-04-08,Headphones,Electronics,Central,4,139.26,0.0,557.04,386.19,170.85
ORD0486,2025-04-08,Monitor,Electronics,North,3,291.5,0.0,874.5,613.11,261.39
ORD0392,2025-04-09,Monitor,Electronics,West,7,389.53,0.0,2726.71,2008.16,718.55
ORD0175,2025-04-09,Desk,Furniture,West,5,141.98,0.15,603.42,456.64,146.78
ORD0054,2025-04-10,Keyboard,Accessories,South,1,69.14,0.05,65.68,38.73,26.95
ORD0422,2025-04-11,Headphones,Electronics,West,5,103.93,0.05,493.67,385.01,108.66
ORD0203,2025-04-12,Keyboard,Accessories,North,7,93.58,0.05,622.31,455.16,167.15
ORD0255,2025-04-12,Mouse,Accessories,South,7,31.78,0.1,200.21,140.28,59.93
ORD0046,2025-04-13,Smartphone,Electronics,West,1,705.33,0.0,705.33,545.26,160.07
ORD0041,2025-04-14,Mouse,Accessories,North,6,32.8,0.0,196.8,125.77,71.03
ORD0262,2025-04-14,Printer,Office Equipment,Central,3,378.15,0.0,1134.45,748.58,385.87
ORD0284,2025-04-15,Mouse,Accessories,North,5,38.65,0.1,173.92,131.9,42.02
ORD0374,2025-04-15,Monitor,Electronics,South,3,237.07,0.15,604.53,431.46,173.07
ORD0730,2025-04-16,Monitor,Electronics,East,1,180.21,0.15,153.18,101.96,51.22
